2021-09-11 18:23:16 Daemon died, spawning replacement...
2021-09-11 18:23:16 Pool fork 1 died, spawning replacement worker...
2021-09-11 20:11:57 Block unlocker died, spawning replacement...
2021-09-11 20:12:02 Block unlocker died, spawning replacement...
2021-09-11 20:12:06 Block unlocker died, spawning replacement...
2021-09-11 20:12:10 Block unlocker died, spawning replacement...
2021-09-11 20:12:15 Block unlocker died, spawning replacement...
2021-09-11 20:12:19 Block unlocker died, spawning replacement...
2021-09-11 20:12:23 Block unlocker died, spawning replacement...
2021-09-11 20:12:27 Block unlocker died, spawning replacement...
2021-09-11 20:12:32 Block unlocker died, spawning replacement...
2021-09-11 20:12:36 Block unlocker died, spawning replacement...
2021-09-11 20:12:56 Block unlocker died, spawning replacement...
2021-09-11 20:12:59 Block unlocker died, spawning replacement...
2021-09-13 11:38:17 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:01:44 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:01:44 chartsDataCollector died, spawning replacement...
2021-09-13 17:01:44 API died, spawning replacement...
2021-09-13 17:01:44 Daemon died, spawning replacement...
2021-09-13 17:01:45 Daemon died, spawning replacement...
2021-09-13 17:01:45 Daemon died, spawning replacement...
2021-09-13 17:01:46 Daemon died, spawning replacement...
2021-09-13 17:01:47 Daemon died, spawning replacement...
2021-09-13 17:01:48 chartsDataCollector died, spawning replacement...
2021-09-13 17:01:49 Daemon died, spawning replacement...
2021-09-13 17:01:51 Pool fork 1 died, spawning replacement worker...
2021-09-13 17:01:51 API died, spawning replacement...
2021-09-13 17:01:51 Daemon died, spawning replacement...
2021-09-13 17:01:51 chartsDataCollector died, spawning replacement...
2021-09-13 17:01:52 Daemon died, spawning replacement...
2021-09-13 17:01:52 Daemon died, spawning replacement...
2021-09-13 17:01:53 Daemon died, spawning replacement...
2021-09-13 17:01:54 Daemon died, spawning replacement...
2021-09-13 17:01:55 chartsDataCollector died, spawning replacement...
2021-09-13 17:01:56 Daemon died, spawning replacement...
2021-09-13 17:01:57 Pool fork 1 died, spawning replacement worker...
